date,description,amount,type,true_category
2023-03-24,Monthly Rent Payment,-244.97472977920933,DEBIT,Rent
2023-03-25,Investment in Bonds,-762.3447576599901,DEBIT,Investment
2023-03-26,Purchase at Kroger,-187.30883946202556,DEBIT,Groceries
2023-03-27,Purchase at Walmart,-55.93310310517842,DEBIT,Groceries
2023-03-28,Investment in Bonds,-542.5287930342593,DEBIT,Investment
2023-03-29,Investment in Mutual Funds,-140.96845565971876,DEBIT,Investment
2023-03-30,Salary from Company A,4113.783046596597,CREDIT,Salary
2023-03-31,Entertainment expense,-76.21716196309768,DEBIT,Entertainment
2023-04-01,Entertainment expense,-397.03288210915366,DEBIT,Entertainment
2023-04-02,Investment in Bonds,-927.8316343835402,DEBIT,Investment
2023-04-03,Shopping expense,-35.7674552328764,DEBIT,Shopping
2023-04-04,Salary from Company C,3727.265753170119,CREDIT,Salary
2023-04-05,Transportation expense,-70.99181437993731,DEBIT,Transportation
2023-04-06,Shopping expense,-314.6007592254305,DEBIT,Shopping
2023-04-07,Entertainment expense,-17.720404062367052,DEBIT,Entertainment
2023-04-08,Entertainment expense,-485.2244954451216,DEBIT,Entertainment
2023-04-09,Monthly Rent Payment,-387.2216919363884,DEBIT,Rent
2023-04-10,Shopping expense,-140.9711378017774,DEBIT,Shopping
2023-04-11,Monthly Rent Payment,-326.88266598331387,DEBIT,Rent
2023-04-12,Other expense,-286.9060728200751,DEBIT,Other
2023-04-13,Salary from Company C,2640.4027686611817,CREDIT,Salary
2023-04-14,Shopping expense,-238.63326441886977,DEBIT,Shopping
2023-04-15,Shopping expense,-140.6741192702223,DEBIT,Shopping
2023-04-16,Salary from Company C,4948.1356026745125,CREDIT,Salary
2023-04-17,Other expense,-162.44258583664865,DEBIT,Other
2023-04-18,Purchase at Trader Joe,-271.95865674750735,DEBIT,Groceries
2023-04-19,Transportation expense,-381.36249163946746,DEBIT,Transportation
2023-04-20,Entertainment expense,-178.29808666337664,DEBIT,Entertainment
2023-04-21,Dining expense,-208.11454633556548,DEBIT,Dining
2023-04-22,Salary from Company B,3753.879467212172,CREDIT,Salary
2023-04-23,Purchase at Whole Foods,-378.9117819210275,DEBIT,Groceries
2023-04-24,Shopping expense,-441.5293310996417,DEBIT,Shopping
2023-04-25,Monthly Rent Payment,-90.36587440172742,DEBIT,Rent
2023-04-26,Other expense,-71.95754131875782,DEBIT,Other
2023-04-27,Salary from Company C,7337.171964872499,CREDIT,Salary
2023-04-28,Utilities expense,-170.4001515135268,DEBIT,Utilities
2023-04-29,Salary from Company B,4826.237139883269,CREDIT,Salary
2023-04-30,Salary from Company A,3457.0961260348427,CREDIT,Salary
2023-05-01,Dining expense,-416.7278187178074,DEBIT,Dining
2023-05-02,Purchase at Trader Joe,-117.64927259311968,DEBIT,Groceries
2023-05-03,Utilities expense,-360.3064460979767,DEBIT,Utilities
2023-05-04,Entertainment expense,-333.00384290766294,DEBIT,Entertainment
2023-05-05,Entertainment expense,-316.7367040280323,DEBIT,Entertainment
2023-05-06,Purchase at Trader Joe,-170.3001145138059,DEBIT,Groceries
2023-05-07,Investment in Stocks,-172.47311182030177,DEBIT,Investment
2023-05-08,Purchase at Kroger,-241.47206240108105,DEBIT,Groceries
2023-05-09,Transportation expense,-167.1262690309865,DEBIT,Transportation
2023-05-10,Monthly Rent Payment,-336.115338011561,DEBIT,Rent
2023-05-11,Shopping expense,-43.48246744698112,DEBIT,Shopping
2023-05-12,Purchase at Kroger,-114.93648188558227,DEBIT,Groceries
2023-05-13,Entertainment expense,-129.80817601698055,DEBIT,Entertainment
2023-05-14,Other expense,-169.33338501552808,DEBIT,Other
2023-05-15,Salary from Company A,3710.2288860432955,CREDIT,Salary
2023-05-16,Investment in Stocks,-424.1614143390012,DEBIT,Investment
2023-05-17,Investment in Bonds,-919.9890069238519,DEBIT,Investment
2023-05-18,Purchase at Whole Foods,-286.41435643188345,DEBIT,Groceries
2023-05-19,Salary from Company A,5491.788896640604,CREDIT,Salary
2023-05-20,Other expense,-404.88249503946975,DEBIT,Other
2023-05-21,Utilities expense,-183.3133458694504,DEBIT,Utilities
2023-05-22,Investment in Bonds,-530.3502476420606,DEBIT,Investment
2023-05-23,Utilities expense,-229.0573784927918,DEBIT,Utilities
2023-05-24,Shopping expense,-50.11363538089181,DEBIT,Shopping
2023-05-25,Other expense,-109.44214450598515,DEBIT,Other
2023-05-26,Dining expense,-284.7434047934082,DEBIT,Dining
2023-05-27,Purchase at Whole Foods,-319.03863475584507,DEBIT,Groceries
2023-05-28,Shopping expense,-161.08767521553446,DEBIT,Shopping
2023-05-29,Purchase at Trader Joe,-358.1868695242473,DEBIT,Groceries
2023-05-30,Dining expense,-317.74639772191136,DEBIT,Dining
2023-05-31,Return from Mutual Funds,324.1883338652881,CREDIT,Investment
2023-06-01,Shopping expense,-244.1771272142938,DEBIT,Shopping
2023-06-02,Monthly Rent Payment,-248.452281649724,DEBIT,Rent
2023-06-03,Other expense,-167.3915889802834,DEBIT,Other
2023-06-04,Dining expense,-331.1052100209484,DEBIT,Dining
2023-06-05,Purchase at Trader Joe,-290.92812595620876,DEBIT,Groceries
2023-06-06,Shopping expense,-76.48775696419054,DEBIT,Shopping
2023-06-07,Other expense,-480.4178110564553,DEBIT,Other
2023-06-08,Other expense,-289.29912662294697,DEBIT,Other
2023-06-09,Utilities expense,-55.96673425970245,DEBIT,Utilities
2023-06-10,Entertainment expense,-322.53787209456607,DEBIT,Entertainment
2023-06-11,Shopping expense,-498.2825047641995,DEBIT,Shopping
2023-06-12,Salary from Company B,7710.364324243604,CREDIT,Salary
2023-06-13,Salary from Company B,2092.9117682979777,CREDIT,Salary
2023-06-14,Purchase at Kroger,-55.79680920355939,DEBIT,Groceries
2023-06-15,Monthly Rent Payment,-280.50976387830474,DEBIT,Rent
2023-06-16,Entertainment expense,-32.10584347939893,DEBIT,Entertainment
2023-06-17,Entertainment expense,-365.68263937432243,DEBIT,Entertainment
2023-06-18,Dining expense,-345.08109773723714,DEBIT,Dining
2023-06-19,Other expense,-123.21435660315291,DEBIT,Other
2023-06-20,Purchase at Whole Foods,-262.7241582651982,DEBIT,Groceries
2023-06-21,Utilities expense,-115.26032711731578,DEBIT,Utilities
2023-06-22,Entertainment expense,-380.89366592131745,DEBIT,Entertainment
2023-06-23,Dining expense,-51.47142630335375,DEBIT,Dining
2023-06-24,Utilities expense,-455.86965711779004,DEBIT,Utilities
2023-06-25,Monthly Rent Payment,-384.7145627795003,DEBIT,Rent
2023-06-26,Monthly Rent Payment,-205.27161420873577,DEBIT,Rent
2023-06-27,Monthly Rent Payment,-317.7418388535962,DEBIT,Rent
2023-06-28,Salary from Company C,6580.48227573306,CREDIT,Salary
2023-06-29,Monthly Rent Payment,-53.42599429228042,DEBIT,Rent
2023-06-30,Other expense,-42.55821699216216,DEBIT,Other
2023-07-01,Purchase at Kroger,-77.95283263297955,DEBIT,Groceries
2023-07-02,Dining expense,-10.64364198175163,DEBIT,Dining
2023-07-03,Transportation expense,-306.77120466592567,DEBIT,Transportation
2023-07-04,Dining expense,-404.5088764812623,DEBIT,Dining
2023-07-05,Dining expense,-159.8850876183074,DEBIT,Dining
2023-07-06,Shopping expense,-384.63470153277495,DEBIT,Shopping
2023-07-07,Shopping expense,-490.3711256117661,DEBIT,Shopping
2023-07-08,Entertainment expense,-486.44259353993414,DEBIT,Entertainment
2023-07-09,Transportation expense,-417.73546970607237,DEBIT,Transportation
2023-07-10,Monthly Rent Payment,-199.57174533879325,DEBIT,Rent
2023-07-11,Salary from Company A,3840.08688233732,CREDIT,Salary
2023-07-12,Entertainment expense,-332.7466806777019,DEBIT,Entertainment
2023-07-13,Return from Stocks,963.2621648887432,CREDIT,Investment
2023-07-14,Salary from Company B,6225.704276887536,CREDIT,Salary
2023-07-15,Dining expense,-233.98789061714933,DEBIT,Dining
2023-07-16,Salary from Company B,3185.8158560535976,CREDIT,Salary
2023-07-17,Monthly Rent Payment,-264.1431737810645,DEBIT,Rent
2023-07-18,Entertainment expense,-410.74949766322436,DEBIT,Entertainment
2023-07-19,Salary from Company A,7321.309428097078,CREDIT,Salary
2023-07-20,Salary from Company B,6532.028879315422,CREDIT,Salary
2023-07-21,Utilities expense,-485.8301767926415,DEBIT,Utilities
2023-07-22,Monthly Rent Payment,-98.80104793022537,DEBIT,Rent
2023-07-23,Purchase at Walmart,-241.41696991459807,DEBIT,Groceries
2023-07-24,Entertainment expense,-312.70866561487946,DEBIT,Entertainment
2023-07-25,Return from Bonds,433.79576680869377,CREDIT,Investment
2023-07-26,Utilities expense,-19.06989246112961,DEBIT,Utilities
2023-07-27,Utilities expense,-463.76050753584866,DEBIT,Utilities
2023-07-28,Purchase at Whole Foods,-27.778041357664854,DEBIT,Groceries
2023-07-29,Purchase at Whole Foods,-17.238113072554267,DEBIT,Groceries
2023-07-30,Purchase at Kroger,-280.5594639101656,DEBIT,Groceries
2023-07-31,Return from Mutual Funds,175.74841338551676,CREDIT,Investment
2023-08-01,Purchase at Walmart,-386.5705844603077,DEBIT,Groceries
2023-08-02,Shopping expense,-245.9404402839156,DEBIT,Shopping
2023-08-03,Dining expense,-359.81124871030056,DEBIT,Dining
2023-08-04,Monthly Rent Payment,-54.15313318081774,DEBIT,Rent
2023-08-05,Entertainment expense,-288.97908945751436,DEBIT,Entertainment
2023-08-06,Shopping expense,-78.901959804076,DEBIT,Shopping
2023-08-07,Investment in Bonds,-939.9541414879577,DEBIT,Investment
2023-08-08,Monthly Rent Payment,-174.4561913087943,DEBIT,Rent
2023-08-09,Utilities expense,-180.68341452723237,DEBIT,Utilities
2023-08-10,Transportation expense,-16.497820454611606,DEBIT,Transportation
2023-08-11,Purchase at Walmart,-301.3368140916514,DEBIT,Groceries
2023-08-12,Other expense,-358.19182144785503,DEBIT,Other
2023-08-13,Return from Stocks,647.2603417421685,CREDIT,Investment
2023-08-14,Shopping expense,-119.82009047010327,DEBIT,Shopping
2023-08-15,Other expense,-55.25023866233877,DEBIT,Other
2023-08-16,Dining expense,-46.50405673854972,DEBIT,Dining
2023-08-17,Transportation expense,-376.23326667933577,DEBIT,Transportation
2023-08-18,Investment in Stocks,-547.0919112511433,DEBIT,Investment
2023-08-19,Utilities expense,-107.92824223790451,DEBIT,Utilities
2023-08-20,Dining expense,-127.12951587465874,DEBIT,Dining
2023-08-21,Entertainment expense,-470.35663846298525,DEBIT,Entertainment
2023-08-22,Utilities expense,-207.6722577300708,DEBIT,Utilities
2023-08-23,Utilities expense,-129.43183682481134,DEBIT,Utilities
2023-08-24,Investment in Stocks,-661.2906193359978,DEBIT,Investment
2023-08-25,Transportation expense,-299.1333300764966,DEBIT,Transportation
2023-08-26,Monthly Rent Payment,-119.44372082812883,DEBIT,Rent
2023-08-27,Transportation expense,-234.88669189884635,DEBIT,Transportation
2023-08-28,Shopping expense,-12.553892642295896,DEBIT,Shopping
2023-08-29,Entertainment expense,-271.432321483158,DEBIT,Entertainment
2023-08-30,Utilities expense,-76.40513702831738,DEBIT,Utilities
2023-08-31,Purchase at Walmart,-136.19352118305017,DEBIT,Groceries
2023-09-01,Other expense,-336.27534161329675,DEBIT,Other
2023-09-02,Purchase at Walmart,-184.99752388845667,DEBIT,Groceries
2023-09-03,Entertainment expense,-245.45976190321807,DEBIT,Entertainment
2023-09-04,Shopping expense,-439.47373354071226,DEBIT,Shopping
2023-09-05,Salary from Company B,4844.702513088061,CREDIT,Salary
2023-09-06,Transportation expense,-88.67641842143736,DEBIT,Transportation
2023-09-07,Utilities expense,-316.73545692178993,DEBIT,Utilities
2023-09-08,Other expense,-495.8664730487233,DEBIT,Other
2023-09-09,Salary from Company C,4392.242333959828,CREDIT,Salary
2023-09-10,Dining expense,-248.77017162392386,DEBIT,Dining
2023-09-11,Other expense,-43.48551882900624,DEBIT,Other
2023-09-12,Utilities expense,-269.4057037950924,DEBIT,Utilities
2023-09-13,Utilities expense,-400.3532342195258,DEBIT,Utilities
2023-09-14,Purchase at Trader Joe,-218.46415903706247,DEBIT,Groceries
2023-09-15,Purchase at Trader Joe,-187.1830956361163,DEBIT,Groceries
2023-09-16,Salary from Company B,5729.600262003219,CREDIT,Salary
2023-09-17,Utilities expense,-82.06435959048883,DEBIT,Utilities
2023-09-18,Shopping expense,-12.614335830148054,DEBIT,Shopping
2023-09-19,Shopping expense,-118.04346812241818,DEBIT,Shopping
2023-09-20,Entertainment expense,-42.13426475034606,DEBIT,Entertainment
2023-09-21,Utilities expense,-322.7520868998888,DEBIT,Utilities
2023-09-22,Dining expense,-136.11570863523553,DEBIT,Dining
2023-09-23,Purchase at Kroger,-444.3275850919283,DEBIT,Groceries
2023-09-24,Transportation expense,-13.284838192480734,DEBIT,Transportation
2023-09-25,Utilities expense,-259.30831260934985,DEBIT,Utilities
2023-09-26,Entertainment expense,-57.27309844679194,DEBIT,Entertainment
2023-09-27,Purchase at Trader Joe,-115.34720495757986,DEBIT,Groceries
2023-09-28,Transportation expense,-42.665163502750296,DEBIT,Transportation
2023-09-29,Dining expense,-331.4275883616623,DEBIT,Dining
2023-09-30,Entertainment expense,-155.74377567975344,DEBIT,Entertainment
2023-10-01,Dining expense,-484.63116718229185,DEBIT,Dining
2023-10-02,Utilities expense,-232.36600098656172,DEBIT,Utilities
2023-10-03,Transportation expense,-230.51167582414072,DEBIT,Transportation
2023-10-04,Monthly Rent Payment,-70.5734969383896,DEBIT,Rent
2023-10-05,Other expense,-330.1041818161974,DEBIT,Other
2023-10-06,Other expense,-388.0334003220039,DEBIT,Other
2023-10-07,Salary from Company A,7190.501633444734,CREDIT,Salary
2023-10-08,Purchase at Trader Joe,-273.02837935125626,DEBIT,Groceries
2023-10-09,Purchase at Whole Foods,-349.69548052253924,DEBIT,Groceries
2023-10-10,Entertainment expense,-11.776622115510145,DEBIT,Entertainment
2023-10-11,Utilities expense,-192.3424434907121,DEBIT,Utilities
2023-10-12,Monthly Rent Payment,-177.6888094851443,DEBIT,Rent
2023-10-13,Utilities expense,-343.85360512300133,DEBIT,Utilities
2023-10-14,Monthly Rent Payment,-300.0578246313531,DEBIT,Rent
2023-10-15,Other expense,-27.21160024145282,DEBIT,Other
2023-10-16,Shopping expense,-377.32228881280025,DEBIT,Shopping
2023-10-17,Purchase at Whole Foods,-255.89506049973994,DEBIT,Groceries
2023-10-18,Salary from Company C,7903.127220749808,CREDIT,Salary
2023-10-19,Dining expense,-52.54758022248172,DEBIT,Dining
2023-10-20,Salary from Company C,2184.0357029609486,CREDIT,Salary
2023-10-21,Investment in Mutual Funds,-525.3894564119078,DEBIT,Investment
2023-10-22,Other expense,-326.5985431458163,DEBIT,Other
2023-10-23,Investment in Bonds,-362.6606021964539,DEBIT,Investment
2023-10-24,Other expense,-448.366719190014,DEBIT,Other
2023-10-25,Monthly Rent Payment,-110.34759049285987,DEBIT,Rent
2023-10-26,Monthly Rent Payment,-442.42586997382034,DEBIT,Rent
2023-10-27,Entertainment expense,-192.42304107558704,DEBIT,Entertainment
2023-10-28,Utilities expense,-442.1529273575316,DEBIT,Utilities
2023-10-29,Return from Stocks,827.1154903169255,CREDIT,Investment
2023-10-30,Transportation expense,-31.53102240030701,DEBIT,Transportation
2023-10-31,Monthly Rent Payment,-38.330231602005966,DEBIT,Rent
2023-11-01,Shopping expense,-436.44508662597104,DEBIT,Shopping
2023-11-02,Transportation expense,-301.46131305196604,DEBIT,Transportation
2023-11-03,Purchase at Walmart,-37.092894250862265,DEBIT,Groceries
2023-11-04,Dining expense,-29.143354778655223,DEBIT,Dining
2023-11-05,Other expense,-384.20656168989797,DEBIT,Other
2023-11-06,Return from Stocks,900.307130054304,CREDIT,Investment
2023-11-07,Transportation expense,-465.64245131452986,DEBIT,Transportation
2023-11-08,Dining expense,-172.67197165022532,DEBIT,Dining
2023-11-09,Shopping expense,-28.395988396735696,DEBIT,Shopping
2023-11-10,Transportation expense,-415.24351178767387,DEBIT,Transportation
2023-11-11,Return from Stocks,253.05454398698976,CREDIT,Investment
2023-11-12,Monthly Rent Payment,-162.5236753006746,DEBIT,Rent
2023-11-13,Investment in Bonds,-145.4116722807579,DEBIT,Investment
2023-11-14,Shopping expense,-136.0317543440691,DEBIT,Shopping
2023-11-15,Utilities expense,-348.5106244958182,DEBIT,Utilities
2023-11-16,Purchase at Whole Foods,-133.0980508548921,DEBIT,Groceries
2023-11-17,Purchase at Whole Foods,-178.80851334509563,DEBIT,Groceries
2023-11-18,Shopping expense,-332.66156508556907,DEBIT,Shopping
2023-11-19,Entertainment expense,-225.66256022105867,DEBIT,Entertainment
2023-11-20,Shopping expense,-98.68652252783832,DEBIT,Shopping
2023-11-21,Transportation expense,-378.14941893662603,DEBIT,Transportation
2023-11-22,Transportation expense,-233.76196096742052,DEBIT,Transportation
2023-11-23,Transportation expense,-132.51991931730214,DEBIT,Transportation
2023-11-24,Utilities expense,-136.10164179009195,DEBIT,Utilities
2023-11-25,Salary from Company C,7645.909639841473,CREDIT,Salary
2023-11-26,Entertainment expense,-83.257763322026,DEBIT,Entertainment
2023-11-27,Dining expense,-115.57550101417117,DEBIT,Dining
2023-11-28,Transportation expense,-259.5814302428373,DEBIT,Transportation
2023-11-29,Transportation expense,-161.46872327673657,DEBIT,Transportation
2023-11-30,Other expense,-330.121101903999,DEBIT,Other
2023-12-01,Shopping expense,-330.9792677484822,DEBIT,Shopping
2023-12-02,Transportation expense,-88.97250800132468,DEBIT,Transportation
2023-12-03,Monthly Rent Payment,-35.63550313403026,DEBIT,Rent
2023-12-04,Monthly Rent Payment,-381.845537494081,DEBIT,Rent
2023-12-05,Salary from Company B,4079.224106136259,CREDIT,Salary
2023-12-06,Shopping expense,-463.4977247889376,DEBIT,Shopping
2023-12-07,Monthly Rent Payment,-486.230092447356,DEBIT,Rent
2023-12-08,Purchase at Kroger,-286.3510315288309,DEBIT,Groceries
2023-12-09,Other expense,-386.3486328580915,DEBIT,Other
2023-12-10,Transportation expense,-291.25765959625465,DEBIT,Transportation
2023-12-11,Dining expense,-65.54536803666241,DEBIT,Dining
2023-12-12,Monthly Rent Payment,-484.40707419780864,DEBIT,Rent
2023-12-13,Transportation expense,-92.51124884075669,DEBIT,Transportation
2023-12-14,Investment in Bonds,-872.7736695018205,DEBIT,Investment
2023-12-15,Entertainment expense,-53.51644694655154,DEBIT,Entertainment
2023-12-16,Shopping expense,-161.83653996469707,DEBIT,Shopping
2023-12-17,Utilities expense,-436.20209236262417,DEBIT,Utilities
2023-12-18,Return from Stocks,925.7126197627865,CREDIT,Investment
2023-12-19,Return from Stocks,396.05605243056317,CREDIT,Investment
2023-12-20,Investment in Bonds,-349.5832036636521,DEBIT,Investment
2023-12-21,Other expense,-157.1447567254633,DEBIT,Other
2023-12-22,Salary from Company B,7235.005169114651,CREDIT,Salary
2023-12-23,Investment in Mutual Funds,-787.4130942653726,DEBIT,Investment
2023-12-24,Entertainment expense,-470.6547506979858,DEBIT,Entertainment
2023-12-25,Entertainment expense,-276.7428720873461,DEBIT,Entertainment
2023-12-26,Transportation expense,-13.807592186726248,DEBIT,Transportation
2023-12-27,Monthly Rent Payment,-64.72122001130461,DEBIT,Rent
2023-12-28,Utilities expense,-447.62927927290247,DEBIT,Utilities
2023-12-29,Other expense,-136.06371310806742,DEBIT,Other
2023-12-30,Purchase at Walmart,-243.66158961499383,DEBIT,Groceries
2023-12-31,Investment in Bonds,-774.2448519865702,DEBIT,Investment
2023-01-01,Shopping expense,-189.35172301372856,DEBIT,Shopping
2023-01-02,Investment in Stocks,-413.6944043475821,DEBIT,Investment
2023-01-03,Utilities expense,-161.67330802514851,DEBIT,Utilities
2023-01-04,Shopping expense,-128.0836163463555,DEBIT,Shopping
2023-01-05,Purchase at Walmart,-190.61538041602307,DEBIT,Groceries
2023-01-06,Utilities expense,-353.56915557212693,DEBIT,Utilities
2023-01-07,Purchase at Walmart,-383.93533607970835,DEBIT,Groceries
2023-01-08,Utilities expense,-34.472356586412474,DEBIT,Utilities
2023-01-09,Utilities expense,-332.9535066951377,DEBIT,Utilities
2023-01-10,Utilities expense,-168.78591546491728,DEBIT,Utilities
2023-01-11,Entertainment expense,-52.72795991821801,DEBIT,Entertainment
2023-01-12,Purchase at Whole Foods,-455.41379339156833,DEBIT,Groceries
2023-01-13,Investment in Mutual Funds,-400.90779787028544,DEBIT,Investment
2023-01-14,Utilities expense,-86.62120112139928,DEBIT,Utilities
2023-01-15,Other expense,-267.7861561785736,DEBIT,Other
2023-01-16,Salary from Company B,7539.361495739209,CREDIT,Salary
2023-01-17,Investment in Mutual Funds,-992.9332072267041,DEBIT,Investment
2023-01-18,Shopping expense,-117.80774712557238,DEBIT,Shopping
2023-01-19,Transportation expense,-216.30162194398991,DEBIT,Transportation
2023-01-20,Transportation expense,-345.69608879611144,DEBIT,Transportation
2023-01-21,Shopping expense,-291.54525645612483,DEBIT,Shopping
2023-01-22,Investment in Stocks,-443.43092784494183,DEBIT,Investment
2023-01-23,Monthly Rent Payment,-44.754592629465996,DEBIT,Rent
2023-01-24,Monthly Rent Payment,-221.68730604484574,DEBIT,Rent
2023-01-25,Monthly Rent Payment,-83.24755701017664,DEBIT,Rent
2023-01-26,Transportation expense,-112.5329826310517,DEBIT,Transportation
2023-01-27,Entertainment expense,-307.42605194611974,DEBIT,Entertainment
2023-01-28,Salary from Company B,7263.085525913424,CREDIT,Salary
2023-01-29,Other expense,-377.91932292408893,DEBIT,Other
2023-01-30,Monthly Rent Payment,-360.06357643591895,DEBIT,Rent
2023-01-31,Entertainment expense,-217.0105981893335,DEBIT,Entertainment
2023-02-01,Entertainment expense,-154.49846692587573,DEBIT,Entertainment
2023-02-02,Utilities expense,-317.8111421182103,DEBIT,Utilities
2023-02-03,Transportation expense,-110.42429777022429,DEBIT,Transportation
2023-02-04,Other expense,-187.941582545402,DEBIT,Other
2023-02-05,Entertainment expense,-345.34487792818504,DEBIT,Entertainment
2023-02-06,Dining expense,-418.7004541816951,DEBIT,Dining
2023-02-07,Utilities expense,-166.44034993920894,DEBIT,Utilities
2023-02-08,Investment in Bonds,-442.02870242621907,DEBIT,Investment
2023-02-09,Other expense,-327.871658566782,DEBIT,Other
