date,description,amount,type,true_category,month,day_of_week,is_weekend,amount_category
2023-04-20,purchase at whole foods,-95.08112706405718,DEBIT,Groceries,4,3,0,medium
2023-04-21,salary from company b,4720.167334277606,CREDIT,Salary,4,4,0,very_large
2023-04-22,shopping expense,-486.850981516649,DEBIT,Shopping,4,5,1,large
2023-04-23,other expense,-234.84665395245278,DEBIT,Other,4,6,1,large
2023-04-24,monthly rent payment,-445.6194363353629,DEBIT,Rent,4,0,0,large
2023-04-25,other expense,-208.51518383881236,DEBIT,Other,4,1,0,large
2023-04-26,entertainment expense,-409.62564841118655,DEBIT,Entertainment,4,2,0,large
2023-04-27,salary from company a,7196.550284005537,CREDIT,Salary,4,3,0,very_large
2023-04-28,purchase at whole foods,-322.0601490853612,DEBIT,Groceries,4,4,0,large
2023-04-29,return from bonds,490.49393823574667,CREDIT,Investment,4,5,1,large
2023-04-30,shopping expense,-225.2466105306263,DEBIT,Shopping,4,6,1,large
2023-05-01,other expense,-128.42828499318728,DEBIT,Other,5,0,0,medium
2023-05-02,salary from company c,6341.388353812193,CREDIT,Salary,5,1,0,very_large
2023-05-03,purchase at walmart,-330.9710940669786,DEBIT,Groceries,5,2,0,large
2023-05-04,investment in mutual funds,-705.1136586519576,DEBIT,Investment,5,3,0,large
2023-05-05,investment in stocks,-523.1572959972272,DEBIT,Investment,5,4,0,large
2023-05-06,dining expense,-62.199570836240106,DEBIT,Dining,5,5,1,medium
2023-05-07,monthly rent payment,-156.9013974729166,DEBIT,Rent,5,6,1,medium
2023-05-08,investment in mutual funds,-408.3880743231352,DEBIT,Investment,5,0,0,large
2023-05-09,return from mutual funds,584.9225632243121,CREDIT,Investment,5,1,0,large
2023-05-10,monthly rent payment,-319.16698247117193,DEBIT,Rent,5,2,0,large
2023-05-11,transportation expense,-401.7484778226539,DEBIT,Transportation,5,3,0,large
2023-05-12,investment in stocks,-871.4108329574836,DEBIT,Investment,5,4,0,large
2023-05-13,purchase at kroger,-323.35338418230987,DEBIT,Groceries,5,5,1,large
2023-05-14,purchase at whole foods,-406.3816609053832,DEBIT,Groceries,5,6,1,large
2023-05-15,utilities expense,-38.364814486829985,DEBIT,Utilities,5,0,0,small
2023-05-16,other expense,-266.4181655664326,DEBIT,Other,5,1,0,large
2023-05-17,dining expense,-112.35643590233423,DEBIT,Dining,5,2,0,medium
2023-05-18,monthly rent payment,-223.97595704605786,DEBIT,Rent,5,3,0,large
2023-05-19,other expense,-285.43926864778894,DEBIT,Other,5,4,0,large
2023-05-20,transportation expense,-18.480105145963876,DEBIT,Transportation,5,5,1,small
2023-05-21,utilities expense,-449.70573112764373,DEBIT,Utilities,5,6,1,large
2023-05-22,other expense,-381.2162093775777,DEBIT,Other,5,0,0,large
2023-05-23,transportation expense,-399.90832444321035,DEBIT,Transportation,5,1,0,large
2023-05-24,dining expense,-125.67823975173272,DEBIT,Dining,5,2,0,medium
2023-05-25,other expense,-380.2738349839921,DEBIT,Other,5,3,0,large
2023-05-26,utilities expense,-273.82489010899485,DEBIT,Utilities,5,4,0,large
2023-05-27,salary from company b,5630.204909911148,CREDIT,Salary,5,5,1,very_large
2023-05-28,transportation expense,-261.36852083892916,DEBIT,Transportation,5,6,1,large
2023-05-29,other expense,-46.24534811701801,DEBIT,Other,5,0,0,small
2023-05-30,entertainment expense,-362.4630349715255,DEBIT,Entertainment,5,1,0,large
2023-05-31,salary from company b,2945.571861803359,CREDIT,Salary,5,2,0,very_large
2023-06-01,shopping expense,-394.4640771418636,DEBIT,Shopping,6,3,0,large
2023-06-02,utilities expense,-468.93262466016216,DEBIT,Utilities,6,4,0,large
2023-06-03,other expense,-69.77241888843231,DEBIT,Other,6,5,1,medium
2023-06-04,purchase at walmart,-378.46011504995903,DEBIT,Groceries,6,6,1,large
2023-06-05,other expense,-243.4688521550103,DEBIT,Other,6,0,0,large
2023-06-06,dining expense,-259.6582079666839,DEBIT,Dining,6,1,0,large
2023-06-07,purchase at kroger,-387.77948956213265,DEBIT,Groceries,6,2,0,large
2023-06-08,utilities expense,-415.38755099461116,DEBIT,Utilities,6,3,0,large
2023-06-09,utilities expense,-15.989402839801864,DEBIT,Utilities,6,4,0,small
2023-06-10,entertainment expense,-301.65763318877373,DEBIT,Entertainment,6,5,1,large
2023-06-11,other expense,-267.7109958675498,DEBIT,Other,6,6,1,large
2023-06-12,other expense,-169.82838145080345,DEBIT,Other,6,0,0,medium
2023-06-13,investment in stocks,-959.0762013309866,DEBIT,Investment,6,1,0,large
2023-06-14,transportation expense,-397.3285099760236,DEBIT,Transportation,6,2,0,large
2023-06-15,investment in mutual funds,-278.0264961502446,DEBIT,Investment,6,3,0,large
2023-06-16,transportation expense,-82.6311112513046,DEBIT,Transportation,6,4,0,medium
2023-06-17,purchase at whole foods,-69.46890463081627,DEBIT,Groceries,6,5,1,medium
2023-06-18,entertainment expense,-262.88334813463575,DEBIT,Entertainment,6,6,1,large
2023-06-19,shopping expense,-102.49174645072368,DEBIT,Shopping,6,0,0,medium
2023-06-20,utilities expense,-309.09038950261936,DEBIT,Utilities,6,1,0,large
2023-06-21,monthly rent payment,-473.0644597999104,DEBIT,Rent,6,2,0,large
2023-06-22,monthly rent payment,-218.62982359509206,DEBIT,Rent,6,3,0,large
2023-06-23,entertainment expense,-230.7175985295208,DEBIT,Entertainment,6,4,0,large
2023-06-24,transportation expense,-387.9574196361644,DEBIT,Transportation,6,5,1,large
2023-06-25,salary from company a,4363.669882305329,CREDIT,Salary,6,6,1,very_large
2023-06-26,purchase at kroger,-412.5395506866681,DEBIT,Groceries,6,0,0,large
2023-06-27,dining expense,-318.8804655367619,DEBIT,Dining,6,1,0,large
2023-06-28,monthly rent payment,-38.77937828938459,DEBIT,Rent,6,2,0,small
2023-06-29,shopping expense,-456.5379740809624,DEBIT,Shopping,6,3,0,large
2023-06-30,salary from company b,6187.231930705284,CREDIT,Salary,6,4,0,very_large
2023-07-01,salary from company c,6864.997933158241,CREDIT,Salary,7,5,1,very_large
2023-07-02,return from bonds,616.759925879378,CREDIT,Investment,7,6,1,large
2023-07-03,other expense,-215.9142760263778,DEBIT,Other,7,0,0,large
2023-07-04,shopping expense,-356.73062881654215,DEBIT,Shopping,7,1,0,large
2023-07-05,purchase at trader joe,-367.51398371697286,DEBIT,Groceries,7,2,0,large
2023-07-06,transportation expense,-351.8148909734271,DEBIT,Transportation,7,3,0,large
2023-07-07,other expense,-464.43389162696195,DEBIT,Other,7,4,0,large
2023-07-08,transportation expense,-145.63908781743606,DEBIT,Transportation,7,5,1,medium
2023-07-09,transportation expense,-489.9741182708916,DEBIT,Transportation,7,6,1,large
2023-07-10,transportation expense,-146.55103001405195,DEBIT,Transportation,7,0,0,medium
2023-07-11,entertainment expense,-459.6199055582262,DEBIT,Entertainment,7,1,0,large
2023-07-12,other expense,-152.49715079739445,DEBIT,Other,7,2,0,medium
2023-07-13,transportation expense,-448.64731384767254,DEBIT,Transportation,7,3,0,large
2023-07-14,dining expense,-17.00829989938542,DEBIT,Dining,7,4,0,small
2023-07-15,monthly rent payment,-431.9021747648857,DEBIT,Rent,7,5,1,large
2023-07-16,return from bonds,738.3387593005993,CREDIT,Investment,7,6,1,large
2023-07-17,entertainment expense,-445.14116890132755,DEBIT,Entertainment,7,0,0,large
2023-07-18,transportation expense,-473.01924944000007,DEBIT,Transportation,7,1,0,large
2023-07-19,purchase at walmart,-323.48442961520135,DEBIT,Groceries,7,2,0,large
2023-07-20,salary from company c,2760.08004584077,CREDIT,Salary,7,3,0,very_large
2023-07-21,monthly rent payment,-91.3371301662956,DEBIT,Rent,7,4,0,medium
2023-07-22,entertainment expense,-251.15837403378865,DEBIT,Entertainment,7,5,1,large
2023-07-23,salary from company a,6635.3139008017015,CREDIT,Salary,7,6,1,very_large
2023-07-24,return from bonds,871.5191580549463,CREDIT,Investment,7,0,0,large
2023-07-25,utilities expense,-378.9750431433384,DEBIT,Utilities,7,1,0,large
2023-07-26,transportation expense,-336.14450551965217,DEBIT,Transportation,7,2,0,large
2023-07-27,dining expense,-228.4385497234415,DEBIT,Dining,7,3,0,large
2023-07-28,purchase at trader joe,-356.07880591864085,DEBIT,Groceries,7,4,0,large
2023-07-29,utilities expense,-267.56990676436294,DEBIT,Utilities,7,5,1,large
2023-07-30,purchase at trader joe,-236.9646026047195,DEBIT,Groceries,7,6,1,large
2023-07-31,utilities expense,-50.980956239707105,DEBIT,Utilities,7,0,0,medium
2023-08-01,entertainment expense,-27.285606280602252,DEBIT,Entertainment,8,1,0,small
2023-08-02,investment in stocks,-302.51679665759025,DEBIT,Investment,8,2,0,large
2023-08-03,shopping expense,-387.50571172788466,DEBIT,Shopping,8,3,0,large
2023-08-04,utilities expense,-66.78898524509822,DEBIT,Utilities,8,4,0,medium
2023-08-05,other expense,-13.572547681994632,DEBIT,Other,8,5,1,small
2023-08-06,investment in bonds,-716.5666786958296,DEBIT,Investment,8,6,1,large
2023-08-07,shopping expense,-215.2093066223468,DEBIT,Shopping,8,0,0,large
2023-08-08,utilities expense,-280.2758191766251,DEBIT,Utilities,8,1,0,large
2023-08-09,purchase at walmart,-238.77047386166677,DEBIT,Groceries,8,2,0,large
2023-08-10,other expense,-286.58388853314756,DEBIT,Other,8,3,0,large
2023-08-11,purchase at walmart,-313.6637489215684,DEBIT,Groceries,8,4,0,large
2023-08-12,entertainment expense,-445.1447196028351,DEBIT,Entertainment,8,5,1,large
2023-08-13,dining expense,-305.6683336851741,DEBIT,Dining,8,6,1,large
2023-08-14,dining expense,-320.99957951753623,DEBIT,Dining,8,0,0,large
2023-08-15,salary from company b,3747.266095351205,CREDIT,Salary,8,1,0,very_large
2023-08-16,monthly rent payment,-365.9940186415362,DEBIT,Rent,8,2,0,large
2023-08-17,salary from company a,3378.32744479326,CREDIT,Salary,8,3,0,very_large
2023-08-18,dining expense,-221.20327895548235,DEBIT,Dining,8,4,0,large
2023-08-19,shopping expense,-194.19232546118303,DEBIT,Shopping,8,5,1,medium
2023-08-20,transportation expense,-59.10114157347956,DEBIT,Transportation,8,6,1,medium
2023-08-21,monthly rent payment,-40.30413944437382,DEBIT,Rent,8,0,0,small
2023-08-22,shopping expense,-421.0765664829702,DEBIT,Shopping,8,1,0,large
2023-08-23,shopping expense,-232.50735307606132,DEBIT,Shopping,8,2,0,large
2023-08-24,purchase at whole foods,-210.18846630621994,DEBIT,Groceries,8,3,0,large
2023-08-25,shopping expense,-412.4971086827566,DEBIT,Shopping,8,4,0,large
2023-08-26,investment in stocks,-917.0901202351239,DEBIT,Investment,8,5,1,large
2023-08-27,shopping expense,-156.75823628949715,DEBIT,Shopping,8,6,1,medium
2023-08-28,return from mutual funds,147.8241190117692,CREDIT,Investment,8,0,0,medium
2023-08-29,entertainment expense,-192.48200902810626,DEBIT,Entertainment,8,1,0,medium
2023-08-30,salary from company c,3969.7110206266343,CREDIT,Salary,8,2,0,very_large
2023-08-31,monthly rent payment,-418.6716598023453,DEBIT,Rent,8,3,0,large
2023-09-01,investment in mutual funds,-700.2670579138135,DEBIT,Investment,9,4,0,large
2023-09-02,utilities expense,-397.7980951918448,DEBIT,Utilities,9,5,1,large
2023-09-03,monthly rent payment,-335.64533626064764,DEBIT,Rent,9,6,1,large
2023-09-04,purchase at trader joe,-358.46515328567915,DEBIT,Groceries,9,0,0,large
2023-09-05,dining expense,-51.65450482650673,DEBIT,Dining,9,1,0,medium
2023-09-06,entertainment expense,-74.6023171415566,DEBIT,Entertainment,9,2,0,medium
2023-09-07,monthly rent payment,-175.19755361055692,DEBIT,Rent,9,3,0,medium
2023-09-08,shopping expense,-107.99176461313036,DEBIT,Shopping,9,4,0,medium
2023-09-09,entertainment expense,-91.25395974904833,DEBIT,Entertainment,9,5,1,medium
2023-09-10,investment in stocks,-987.3090666105742,DEBIT,Investment,9,6,1,large
2023-09-11,utilities expense,-415.91616033731293,DEBIT,Utilities,9,0,0,large
2023-09-12,shopping expense,-302.58436697719816,DEBIT,Shopping,9,1,0,large
2023-09-13,dining expense,-153.19665630451135,DEBIT,Dining,9,2,0,medium
2023-09-14,dining expense,-352.49373710072587,DEBIT,Dining,9,3,0,large
2023-09-15,other expense,-144.1215801591207,DEBIT,Other,9,4,0,medium
2023-09-16,other expense,-218.89887440965126,DEBIT,Other,9,5,1,large
2023-09-17,monthly rent payment,-381.3037700960436,DEBIT,Rent,9,6,1,large
2023-09-18,investment in bonds,-575.8427940322911,DEBIT,Investment,9,0,0,large
2023-09-19,monthly rent payment,-84.95882129739918,DEBIT,Rent,9,1,0,medium
2023-09-20,entertainment expense,-278.02521028966027,DEBIT,Entertainment,9,2,0,large
2023-09-21,monthly rent payment,-180.59660884920206,DEBIT,Rent,9,3,0,medium
2023-09-22,transportation expense,-398.8090470802582,DEBIT,Transportation,9,4,0,large
2023-09-23,salary from company b,2321.5350341657595,CREDIT,Salary,9,5,1,very_large
2023-09-24,entertainment expense,-415.4175222393171,DEBIT,Entertainment,9,6,1,large
2023-09-25,utilities expense,-431.625002061678,DEBIT,Utilities,9,0,0,large
2023-09-26,transportation expense,-322.34301618571453,DEBIT,Transportation,9,1,0,large
2023-09-27,purchase at whole foods,-87.86916004915021,DEBIT,Groceries,9,2,0,medium
2023-09-28,dining expense,-454.1418428233515,DEBIT,Dining,9,3,0,large
2023-09-29,investment in bonds,-287.2576237604238,DEBIT,Investment,9,4,0,large
2023-09-30,entertainment expense,-243.01784308019745,DEBIT,Entertainment,9,5,1,large
2023-10-01,transportation expense,-140.0659847374777,DEBIT,Transportation,10,6,1,medium
2023-10-02,entertainment expense,-14.926905471968396,DEBIT,Entertainment,10,0,0,small
2023-10-03,shopping expense,-309.1906256912863,DEBIT,Shopping,10,1,0,large
2023-10-04,investment in mutual funds,-844.6703218542837,DEBIT,Investment,10,2,0,large
2023-10-05,investment in bonds,-442.5953910699957,DEBIT,Investment,10,3,0,large
2023-10-06,shopping expense,-272.1535117953358,DEBIT,Shopping,10,4,0,large
2023-10-07,other expense,-132.5358705466267,DEBIT,Other,10,5,1,medium
2023-10-08,dining expense,-398.7766575433374,DEBIT,Dining,10,6,1,large
2023-10-09,shopping expense,-31.598650909104766,DEBIT,Shopping,10,0,0,small
2023-10-10,utilities expense,-108.84426551867273,DEBIT,Utilities,10,1,0,medium
2023-10-11,transportation expense,-239.794290719223,DEBIT,Transportation,10,2,0,large
2023-10-12,investment in mutual funds,-610.374148780709,DEBIT,Investment,10,3,0,large
2023-10-13,transportation expense,-44.338156211070036,DEBIT,Transportation,10,4,0,small
2023-10-14,shopping expense,-208.60719120582138,DEBIT,Shopping,10,5,1,large
2023-10-15,utilities expense,-275.47911678848266,DEBIT,Utilities,10,6,1,large
2023-10-16,salary from company b,2787.2703826521984,CREDIT,Salary,10,0,0,very_large
2023-10-17,dining expense,-15.50877387673182,DEBIT,Dining,10,1,0,small
2023-10-18,purchase at kroger,-391.54338154535503,DEBIT,Groceries,10,2,0,large
2023-10-19,entertainment expense,-493.5695387300159,DEBIT,Entertainment,10,3,0,large
2023-10-20,monthly rent payment,-270.8307604082699,DEBIT,Rent,10,4,0,large
2023-10-21,salary from company a,6896.069922798838,CREDIT,Salary,10,5,1,very_large
2023-10-22,entertainment expense,-308.9052189154802,DEBIT,Entertainment,10,6,1,large
2023-10-23,purchase at kroger,-158.27199586686095,DEBIT,Groceries,10,0,0,medium
2023-10-24,transportation expense,-112.48136376533014,DEBIT,Transportation,10,1,0,medium
2023-10-25,dining expense,-209.91227224472476,DEBIT,Dining,10,2,0,large
2023-10-26,transportation expense,-359.0619359299305,DEBIT,Transportation,10,3,0,large
2023-10-27,purchase at whole foods,-97.69588834043562,DEBIT,Groceries,10,4,0,medium
2023-10-28,entertainment expense,-402.59003284935045,DEBIT,Entertainment,10,5,1,large
2023-10-29,purchase at kroger,-326.71867297359967,DEBIT,Groceries,10,6,1,large
2023-10-30,transportation expense,-35.0564961788763,DEBIT,Transportation,10,0,0,small
2023-10-31,investment in stocks,-863.6065758892931,DEBIT,Investment,10,1,0,large
2023-11-01,entertainment expense,-442.15529079747586,DEBIT,Entertainment,11,2,0,large
2023-11-02,monthly rent payment,-397.1906741118612,DEBIT,Rent,11,3,0,large
2023-11-03,purchase at whole foods,-166.62361903480124,DEBIT,Groceries,11,4,0,medium
2023-11-04,dining expense,-128.8320686525796,DEBIT,Dining,11,5,1,medium
2023-11-05,shopping expense,-171.21025141854565,DEBIT,Shopping,11,6,1,medium
2023-11-06,monthly rent payment,-258.08855250223496,DEBIT,Rent,11,0,0,large
2023-11-07,other expense,-72.02664406313528,DEBIT,Other,11,1,0,medium
2023-11-08,purchase at walmart,-396.1254788203937,DEBIT,Groceries,11,2,0,large
2023-11-09,other expense,-171.75317996157918,DEBIT,Other,11,3,0,medium
2023-11-10,return from mutual funds,651.1873191228154,CREDIT,Investment,11,4,0,large
2023-11-11,purchase at whole foods,-271.4075487001417,DEBIT,Groceries,11,5,1,large
2023-11-12,salary from company c,3203.215462949532,CREDIT,Salary,11,6,1,very_large
2023-11-13,shopping expense,-177.76012375903488,DEBIT,Shopping,11,0,0,medium
2023-11-14,shopping expense,-338.1340066932576,DEBIT,Shopping,11,1,0,large
2023-11-15,entertainment expense,-114.42635469506354,DEBIT,Entertainment,11,2,0,medium
2023-11-16,investment in stocks,-749.0796284710439,DEBIT,Investment,11,3,0,large
2023-11-17,entertainment expense,-234.1961243108923,DEBIT,Entertainment,11,4,0,large
2023-11-18,dining expense,-122.09218089383987,DEBIT,Dining,11,5,1,medium
2023-11-19,utilities expense,-184.16287583450227,DEBIT,Utilities,11,6,1,medium
2023-11-20,monthly rent payment,-238.1934616816655,DEBIT,Rent,11,0,0,large
2023-11-21,purchase at whole foods,-407.66432875582007,DEBIT,Groceries,11,1,0,large
2023-11-22,utilities expense,-134.4203055809054,DEBIT,Utilities,11,2,0,medium
2023-11-23,utilities expense,-338.56706066560065,DEBIT,Utilities,11,3,0,large
2023-11-24,entertainment expense,-97.64738572800128,DEBIT,Entertainment,11,4,0,medium
2023-11-25,other expense,-367.15348753728557,DEBIT,Other,11,5,1,large
2023-11-26,monthly rent payment,-176.69549245512636,DEBIT,Rent,11,6,1,medium
2023-11-27,purchase at kroger,-181.4808340609641,DEBIT,Groceries,11,0,0,medium
2023-11-28,utilities expense,-118.66469046867397,DEBIT,Utilities,11,1,0,medium
2023-11-29,other expense,-42.76653072566192,DEBIT,Other,11,2,0,small
2023-11-30,return from bonds,346.6218567488454,CREDIT,Investment,11,3,0,large
2023-12-01,shopping expense,-485.8184929836587,DEBIT,Shopping,12,4,0,large
2023-12-02,return from mutual funds,379.75233036988413,CREDIT,Investment,12,5,1,large
2023-12-03,other expense,-366.69162605387635,DEBIT,Other,12,6,1,large
2023-12-04,transportation expense,-164.03696322678732,DEBIT,Transportation,12,0,0,medium
